INFO [2023-08-01 14:37:18,856] [admin.py:29] isUserAdmin - CheckTokenMembership returned: True
WARNING [2023-08-01 14:37:45,447] [utils.py:86] 等待游戏窗口
INFO [2023-08-01 14:37:46,449] [states.py:33] 当前版本：v5.08
INFO [2023-08-01 14:37:46,449] [utils.py:26] 通知：初始计数：0  开始运行
INFO [2023-08-01 14:37:46,450] [states.py:63] 加载地图
INFO [2023-08-01 14:37:46,716] [states.py:69] 加载地图完成，共 63 张
INFO [2023-08-01 14:37:46,856] [utils.py:237] 匹配到图片 ./imgs/f.jpg 相似度 0.995868 阈值 0.970000
INFO [2023-08-01 14:37:47,246] [states.py:647] 未安装依赖库或环境变量未正确设置
INFO [2023-08-01 14:37:47,320] [utils.py:237] 匹配到图片 ./imgs/f.jpg 相似度 0.995868 阈值 0.970000
INFO [2023-08-01 14:37:47,844] [states.py:141] 停止运行
INFO [2023-08-01 14:37:47,845] [utils.py:26] 通知：   已退出自动化
INFO [2023-08-01 14:37:57,700] [states.py:651] 未安装依赖库或环境变量未正确设置
INFO [2023-08-01 14:37:58,607] [states.py:603] 尝试停止运行
INFO [2023-08-01 14:38:02,545] [align_angle.py:32] 开始校准
WARNING [2023-08-01 14:38:02,750] [utils.py:86] 等待游戏窗口
INFO [2023-08-01 14:38:13,421] [align_angle.py:78] 校准完成
WARNING [2023-08-01 14:38:22,668] [utils.py:86] 等待游戏窗口
INFO [2023-08-01 14:38:23,684] [states.py:33] 当前版本：v5.08
INFO [2023-08-01 14:38:23,684] [utils.py:26] 通知：初始计数：0  开始运行
INFO [2023-08-01 14:38:23,685] [states.py:63] 加载地图
INFO [2023-08-01 14:38:23,820] [states.py:69] 加载地图完成，共 63 张
INFO [2023-08-01 14:38:23,878] [utils.py:237] 匹配到图片 ./imgs/f.jpg 相似度 0.995868 阈值 0.970000
INFO [2023-08-01 14:38:24,270] [states.py:647] 未安装依赖库或环境变量未正确设置
INFO [2023-08-01 14:38:24,339] [utils.py:237] 匹配到图片 ./imgs/f.jpg 相似度 0.995868 阈值 0.970000
INFO [2023-08-01 14:38:24,868] [states.py:141] 停止运行
INFO [2023-08-01 14:38:24,869] [utils.py:26] 通知：   已退出自动化
INFO [2023-08-01 14:38:33,923] [states.py:603] 尝试停止运行
INFO [2023-08-01 14:38:34,749] [states.py:651] 未安装依赖库或环境变量未正确设置
WARNING [2023-08-01 14:38:49,345] [utils.py:86] 等待游戏窗口
INFO [2023-08-01 14:38:50,355] [states.py:33] 当前版本：v5.08
INFO [2023-08-01 14:38:50,355] [utils.py:26] 通知：初始计数：0  开始运行
INFO [2023-08-01 14:38:50,356] [states.py:63] 加载地图
INFO [2023-08-01 14:38:50,495] [states.py:69] 加载地图完成，共 63 张
INFO [2023-08-01 14:38:50,548] [utils.py:237] 匹配到图片 ./imgs/init.jpg 相似度 0.995118 阈值 0.970000
INFO [2023-08-01 14:38:50,948] [states.py:647] 未安装依赖库或环境变量未正确设置
INFO [2023-08-01 14:38:51,371] [states.py:141] 停止运行
INFO [2023-08-01 14:38:51,372] [utils.py:26] 通知：   已退出自动化
INFO [2023-08-01 14:38:59,666] [states.py:603] 尝试停止运行
INFO [2023-08-01 14:39:01,414] [states.py:651] 未安装依赖库或环境变量未正确设置
